onet_soc_code,profession_id,profession_name,profession_family,median_annual_wage_usd,median_hourly_wage_usd,employment_count,outlook_growth_pct,openings_annual,avg_weekly_hours_estimate,schedule_type,boundary_quality,predictability,ai_exposure,geographic_concentration,physical_intensity,remote_friendliness,weekend_work_likelihood,night_work_likelihood,ooh_url,source,hours_note,notes,interest_tags
15-1252.00,software_developer,Software Developers,Technology,133080,63.98,1913650,17,140100,43,normal,moderate,medium,medium,regional,low,high,low,low,https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,bls_ooh_2026,"More than 1 in 4 worked more than 40 hours per week in 2024.","Strong upside, but deadline cycles can bleed into evenings.","tech;research"
15-2051.00,data_scientist,Data Scientists,Technology,112590,54.13,202900,36,20000,42,normal,moderate,medium,medium,regional,low,high,low,low,https://www.bls.gov/ooh/math/data-scientists.htm,bls_ooh_2026,"Most work full time.","High-demand analytical path with strong upside and some AI resilience because it often involves building or governing AI systems.","tech;research"
15-1211.00,computer_systems_analyst,Computer Systems Analysts,Technology,105990,50.96,558400,11,47500,43,normal,strong,high,high,regional,low,high,low,low,https://www.bls.gov/ooh/computer-and-information-technology/computer-systems-analysts.htm,bls_ooh_2026,"Most work full time and some work more than 40 hours per week.","Predictable office pattern for many roles, but a lot of task structure is AI-sensitive.","tech;business;research"
29-1141.00,registered_nurse,Registered Nurses,Healthcare,93600,45.00,3242800,6,194500,40,shift,moderate,medium,low,local_anywhere,medium,low,high,high,https://www.bls.gov/ooh/healthcare/registered-nurses.htm,bls_ooh_2026,"Facilities that provide 24-hour care may require nurses to work rotating shifts and weekends and to be on call.","Very durable and geographically flexible, but often costs nights, weekends, or holiday control.","healthcare;helping_people;communication"
25-2031.00,high_school_teacher,High School Teachers,Education,65720,31.60,1033000,0,64900,45,normal,moderate,high,low,local_anywhere,low,low,low,low,https://www.bls.gov/ooh/education-training-and-library/high-school-teachers.htm,bls_ooh_2026,"Most work full time during the school year.","Calendar rhythm is predictable, but prep and grading can spill beyond the school day.","communication;helping_people"
13-2011.00,accountant,Accountants and Auditors,Business,81580,39.22,1562000,6,130800,45,normal,moderate,high,high,regional,low,medium,low,low,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,bls_ooh_2026,"Most work full time, and some work more than 40 hours per week. Longer hours are common at certain times of the year.","Stable and structured, but repetitive knowledge work faces meaningful AI pressure.","business;research"
13-2051.00,financial_analyst,Financial and Investment Analysts,Business,101910,49.00,399800,9,30800,48,extended,weak,medium,high,major_hub_dependent,low,medium,low,low,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,bls_ooh_2026,"Most work full time and some work more than 40 hours per week.","Good upside, but higher-end finance paths often pull people toward major hubs and weaker boundaries.","business;research"
13-1111.00,management_analyst,Management Analysts,Business,101190,48.65,1001400,11,95400,48,extended,weak,low,high,major_hub_dependent,low,medium,medium,low,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,bls_ooh_2026,"Most management analysts work full time and overtime is common.","Strong earnings and mobility, but travel and client demands often eat into evenings.","business;communication;research"
27-1024.00,graphic_designer,Graphic Designers,Design,61720,29.67,272900,2,21100,40,normal,moderate,medium,high,regional,low,medium,low,low,https://www.bls.gov/ooh/arts-and-design/graphic-designers.htm,bls_ooh_2026,"Most graphic designers work full time, but schedules can vary for self-employed workers.","Creative lifestyle can feel flexible, but earnings are more modest and tooling is highly AI-exposed.","design;communication"
15-1255.00,web_digital_interface_designer,Web and Digital Interface Designers,Design,98300,47.26,252000,8,16400,43,normal,moderate,medium,high,regional,low,high,low,low,https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm,bls_ooh_2026,"Most web developers and digital designers work full time.","Combines design and tech with good upside, but interface work is being reshaped quickly by AI tooling.","design;tech;communication"
47-2111.00,electrician,Electricians,Trades,62880,30.23,779800,11,80400,42,normal,strong,medium,low,local_anywhere,high,low,medium,low,https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,bls_ooh_2026,"Most electricians work full time. Work schedules may include evenings and weekends and may vary during bad weather.","Strong local demand and low AI risk, with a clearer end-of-day cutoff than many office jobs.","hands_on"
47-2044.00,tile_stone_setter,Tile and Stone Setters,Trades,60360,29.02,23400,5,2300,40,normal,strong,high,low,local_anywhere,high,low,low,low,https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,bls_ooh_2026,"Most flooring installers and tile and stone setters work full time.","Physically demanding, but often easier to protect evenings and weekends than in elite knowledge-work tracks.","hands_on"
11-9021.00,construction_manager,Construction Managers,Trades,106980,51.43,554300,9,45400,48,extended,moderate,low,low,regional,medium,low,medium,low,https://www.bls.gov/ooh/management/construction-managers.htm,bls_ooh_2026,"Most construction managers work full time, and some work more than 40 hours per week.","High pay with strong real-world demand, but schedules move with projects and deadlines.","hands_on;business"
29-1218.00,physician,Physicians and Surgeons,Healthcare,239200,115.00,853700,4,23400,55,irregular,weak,low,low,regional,medium,low,high,high,https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,bls_ooh_2026,"Most physicians and surgeons work full time. Some worked more than 60 hours per week in 2024.","Extremely strong earnings, but the lifestyle cost is often nights, weekends, and limited schedule control.","healthcare;helping_people;research"
